,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,review_scores_rating,number_of_reviews,minimum_nights,maximum_nights,instant_bookable,cluster_id,is_luxury,is_bathroom_shared,amenity_count,description_sentiment,neighborhood_overview_sentiment,listing_views_ltm,conversion_rate_ltm,average_lead_time,average_booking_duration,is_training_sample,price
0,condo,Entire home/apt,2,1.0,2.0,2.0,37.99527,23.76651,within an hour,1.0,1.0,0,1,4.87,180,1,180,0,0,0,0,54,0.2866666666666667,0.3,91,0.054945054945054944,105.6,7.8,1,80.0
1,home,Entire home/apt,6,2.5,2.0,4.0,37.97065,23.72931,within an hour,1.0,1.0,1,1,4.99,289,2,30,1,19,0,0,35,,,93,0.13978494623655913,68.76923076923077,6.615384615384615,1,250.0
2,rental_unit,Entire home/apt,3,1.0,1.0,1.0,37.97506,23.73068,within an hour,1.0,0.99,1,1,4.84,33,3,365,1,21,0,0,45,0.22053571428571428,0.14285714285714285,97,0.020618556701030927,9.5,5.0,1,175.0
3,rental_unit,Entire home/apt,3,1.0,1.0,2.0,37.97538,23.73264,within an hour,1.0,1.0,0,1,4.77,435,3,730,0,21,0,0,42,-0.04999999999999999,0.35,98,0.15306122448979592,66.86666666666666,7.2,1,190.0
4,rental_unit,Entire home/apt,4,1.0,2.0,2.0,37.96615,23.73463,,,0.67,0,1,4.77,59,2,10,0,9,0,0,48,0.253042328042328,0.0,76,0.013157894736842105,6.0,4.0,1,210.0
5,condo,Entire home/apt,12,3.0,4.0,8.0,37.96688,23.75001,within an hour,1.0,1.0,1,1,4.96,27,3,60,0,3,0,0,56,0.28253968253968254,0.25,78,0.02564102564102564,75.5,12.5,1,580.0
6,rental_unit,Entire home/apt,4,1.0,2.0,3.0,37.97587,23.73311,,,,0,1,4.78,49,2,1125,0,21,0,0,22,,0.13333333333333333,87,0.0,,,1,250.0
7,condo,Entire home/apt,4,2.5,3.0,3.0,37.9793,23.73782,,,0.57,0,1,5.0,1,2,1125,0,12,0,0,31,0.0,,107,0.0,,,1,280.0
8,rental_unit,Entire home/apt,2,1.5,1.0,2.0,37.97708,23.74285,within an hour,1.0,0.96,1,1,4.92,104,10,365,0,10,0,0,37,0.3666666666666667,0.36250000000000004,101,0.039603960396039604,61.0,8.0,1,170.0
9,other,Entire home/apt,5,1.0,1.0,2.0,37.96487,23.71852,within a few hours,1.0,0.81,1,1,4.92,215,3,60,0,19,1,0,63,0.08214285714285716,0.2011904761904762,96,0.08333333333333333,72.625,9.25,1,325.0
10,condo,Entire home/apt,4,1.0,1.0,3.0,37.9758,23.71656,within an hour,1.0,1.0,1,1,4.97,172,2,730,0,5,0,0,58,0.535,0.24301406926406924,91,0.08791208791208792,61.25,9.625,1,140.0
11,home,Entire home/apt,3,1.0,1.0,2.0,37.99923,23.7189,within an hour,1.0,1.0,1,1,4.98,57,3,60,0,-1,0,0,43,0.22530303030303028,0.08418367346938775,95,0.042105263157894736,52.5,6.5,1,75.0
12,rental_unit,Entire home/apt,3,1.0,1.0,1.0,37.97312,23.74912,within a few hours,1.0,0.5,0,1,4.88,114,11,1125,0,3,0,0,14,0.36458333333333337,0.28541666666666665,83,0.0,,,1,135.0
13,condo,Entire home/apt,6,2.0,2.0,3.0,37.96538,23.74292,within an hour,1.0,0.91,0,1,4.65,48,3,90,0,3,0,0,42,0.23933566433566433,0.6166666666666667,84,0.023809523809523808,21.5,6.5,1,360.0
14,rental_unit,Entire home/apt,4,1.0,1.0,4.0,37.99268,23.72619,within an hour,0.86,1.0,1,1,4.43,23,4,1125,1,16,0,0,17,0.525,0.14772727272727273,82,0.012195121951219513,5.0,7.0,1,95.0
15,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.97472,23.73228,within an hour,0.8,1.0,1,1,4.85,453,2,60,1,21,0,0,31,0.2830357142857143,0.17596371882086165,100,0.18,36.05555555555556,6.333333333333333,1,125.0
16,rental_unit,Entire home/apt,5,1.0,2.0,3.0,37.97739,23.7255,within an hour,1.0,1.0,1,1,4.94,131,5,1125,1,21,0,0,35,0.2225757575757576,0.10142045454545454,92,0.17391304347826086,81.75,7.6875,1,300.0
17,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.97683,23.72293,,,,0,1,4.58,107,365,600,1,21,0,0,22,0.33194444444444443,0.4254545454545454,91,0.0,,,1,105.0
18,rental_unit,Entire home/apt,4,1.0,2.0,3.0,37.97464,23.74885,within an hour,1.0,1.0,1,1,4.88,193,1,28,1,3,0,0,35,0.26571428571428574,0.15363408521303257,81,0.0,,,1,180.0
19,condo,Entire home/apt,3,1.0,1.0,1.0,37.98119,23.75973,within an hour,1.0,0.67,1,1,4.85,119,4,1125,0,0,0,0,38,-0.06000000000000001,,85,0.08235294117647059,44.42857142857143,7.0,1,120.0
20,home,Entire home/apt,4,1.0,2.0,,37.95553,23.7164,within an hour,1.0,0.81,1,1,4.5,2,2,1125,0,-1,0,0,52,-0.008333333333333325,0.17916666666666667,76,0.0,,,1,155.0
21,rental_unit,Entire home/apt,2,1.0,0.0,1.0,37.97857,23.73031,within an hour,0.8,1.0,1,1,4.81,177,2,60,1,21,0,0,26,0.28939393939393937,0.18171487603305786,92,0.021739130434782608,36.5,5.5,1,110.0
22,rental_unit,Entire home/apt,4,1.0,1.0,3.0,37.98505,23.75485,within an hour,1.0,1.0,0,1,4.66,59,2,1125,0,-1,0,0,25,0.35,0.11944444444444446,101,0.009900990099009901,130.0,7.0,1,150.0
23,other,Entire home/apt,3,1.0,1.0,1.0,37.96397,23.71912,within an hour,1.0,0.98,1,1,4.98,413,1,30,0,19,1,0,46,0.1037037037037037,0.14999999999999997,101,0.21782178217821782,45.77272727272727,6.136363636363637,1,195.0
24,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.97992,23.72914,within an hour,1.0,1.0,1,1,4.85,251,2,90,0,21,0,0,27,0.32499999999999996,0.2813333333333333,99,0.1717171717171717,65.47058823529412,6.705882352941177,1,210.0
25,rental_unit,Entire home/apt,3,1.5,2.0,1.0,37.98262,23.71893,,,0.0,0,1,4.94,18,2,1125,0,20,0,0,20,0.42000000000000004,0.6958333333333333,93,0.0,,,1,75.0
26,rental_unit,Entire home/apt,6,1.0,2.0,2.0,38.00366,23.72886,,,,0,1,4.28,39,3,1125,1,6,0,0,36,0.42000000000000004,0.0,85,0.0,,,1,125.0
27,condo,Entire home/apt,2,1.0,1.0,1.0,37.98131,23.71987,,,1.0,0,1,5.0,4,7,730,1,20,0,0,35,0.3183333333333333,,76,0.013157894736842105,2.0,10.0,1,50.0
28,rental_unit,Entire home/apt,3,1.0,1.0,3.0,37.98633,23.71871,a few days or more,0.0,0.0,0,1,4.84,32,3,20,0,11,0,0,14,-0.025,0.1857843137254902,88,0.0,,,1,85.0
29,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.98729,23.71923,,,,0,1,4.86,213,2,1125,0,11,0,0,29,0.14297619047619048,0.2541666666666667,85,0.011764705882352941,37.0,5.0,1,55.0
30,condo,Entire home/apt,5,1.0,1.0,2.0,38.00282,23.73032,within an hour,1.0,1.0,1,1,4.64,129,5,1125,0,6,0,0,40,0.11979166666666666,,111,0.15315315315315314,58.8235294117647,8.882352941176471,1,110.0
31,condo,Entire home/apt,2,1.0,1.0,2.0,37.99824,23.77067,within an hour,1.0,0.97,1,1,4.95,22,5,1125,0,-1,0,0,37,0.07424242424242425,0.05333333333333334,81,0.024691358024691357,76.5,8.0,1,120.0
32,rental_unit,Entire home/apt,4,1.0,0.0,2.0,37.97694,23.72984,within an hour,1.0,1.0,0,1,4.9,192,1,30,1,21,0,0,25,0.325,0.11377551020408162,84,0.023809523809523808,94.5,3.0,1,240.0
33,rental_unit,Entire home/apt,4,1.0,2.0,2.0,37.9836659,23.7608038,within an hour,1.0,1.0,0,1,4.86,7,2,365,1,0,0,0,29,0.21666666666666665,,87,0.011494252873563218,22.0,2.0,1,160.0
34,rental_unit,Entire home/apt,2,1.0,0.0,1.0,37.96726,23.73935,within an hour,1.0,0.99,1,1,4.78,244,2,60,0,-1,0,0,44,0.21428571428571427,0.265625,107,0.14953271028037382,79.3125,4.6875,1,115.0
35,rental_unit,Entire home/apt,2,1.0,1.0,2.0,37.96671,23.73459,within an hour,1.0,1.0,0,1,4.69,324,2,30,1,9,0,0,34,0.2111111111111111,0.13714285714285715,98,0.16326530612244897,58.3125,7.5625,1,90.0
