,bin__host_is_superhost,bin__host_identity_verified,bin__instant_bookable,bin__is_luxury,bin__is_bathroom_shared,zero__average_lead_time,zero__average_booking_duration,num__accommodates,num__amenity_count,num__bathrooms,num__bedrooms,num__beds,num__conversion_rate_ltm,num__description_sentiment,num__host_acceptance_rate,num__host_response_rate,num__latitude,num__listing_views_ltm,num__longitude,num__maximum_nights,num__minimum_nights,num__neighborhood_overview_sentiment,num__number_of_reviews,num__review_scores_rating,ohe__property_type_condo,ohe__property_type_home,ohe__property_type_hotel,ohe__property_type_other,ohe__property_type_rental_unit,ohe__room_type_Entire home/apt,ohe__room_type_Hotel room,ohe__room_type_Private room,ohe__room_type_Shared room,ohe__cluster_id_-1,ohe__cluster_id_0,ohe__cluster_id_1,ohe__cluster_id_2,ohe__cluster_id_3,ohe__cluster_id_4,ohe__cluster_id_5,ohe__cluster_id_6,ohe__cluster_id_7,ohe__cluster_id_8,ohe__cluster_id_9,ohe__cluster_id_10,ohe__cluster_id_11,ohe__cluster_id_12,ohe__cluster_id_13,ohe__cluster_id_14,ohe__cluster_id_15,ohe__cluster_id_16,ohe__cluster_id_17,ohe__cluster_id_18,ohe__cluster_id_19,ohe__cluster_id_20,ohe__cluster_id_21,ord__host_response_time,price
0,0.0,1.0,0.0,0.0,0.0,105.6,7.8,2.0,54.0,1.0,2.0,2.0,0.0549450549450549,0.2866666666666667,1.0,1.0,37.99527,91.0,23.76651,180.0,1.0,0.3,180.0,4.87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0
1,1.0,1.0,1.0,0.0,0.0,68.76923076923077,6.615384615384615,6.0,35.0,2.5,2.0,4.0,0.1397849462365591,0.2625,1.0,1.0,37.97065,93.0,23.72931,30.0,2.0,0.20450779727095514,289.0,4.99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,250.0
2,1.0,1.0,1.0,0.0,0.0,9.5,5.0,3.0,45.0,1.0,1.0,1.0,0.0206185567010309,0.2205357142857142,0.99,1.0,37.97506,97.0,23.73068,365.0,3.0,0.1428571428571428,33.0,4.84,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,175.0
3,0.0,1.0,0.0,0.0,0.0,66.86666666666666,7.2,3.0,42.0,1.0,1.0,2.0,0.1530612244897959,-0.0499999999999999,1.0,1.0,37.97538,98.0,23.73264,730.0,3.0,0.35,435.0,4.77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,190.0
4,0.0,1.0,0.0,0.0,0.0,6.0,4.0,4.0,48.0,1.0,2.0,2.0,0.0131578947368421,0.253042328042328,0.67,1.0,37.96615,76.0,23.73463,10.0,2.0,0.0,59.0,4.77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,210.0
5,1.0,1.0,0.0,0.0,0.0,75.5,12.5,12.0,56.0,3.0,4.0,8.0,0.0256410256410256,0.2825396825396825,1.0,1.0,37.96688,78.0,23.75001,60.0,3.0,0.25,27.0,4.96,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,580.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,2.0,3.0,0.0,0.2625,1.0,1.0,37.97587,87.0,23.73311,1125.0,2.0,0.1333333333333333,49.0,4.78,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,250.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,2.5,3.0,3.0,0.0,0.0,0.57,1.0,37.9793,107.0,23.73782,1125.0,2.0,0.20450779727095514,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,280.0
8,1.0,1.0,0.0,0.0,0.0,61.0,8.0,2.0,37.0,1.5,1.0,2.0,0.0396039603960396,0.3666666666666667,0.96,1.0,37.97708,101.0,23.74285,365.0,10.0,0.3625,104.0,4.92,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,170.0
9,1.0,1.0,0.0,1.0,0.0,72.625,9.25,5.0,63.0,1.0,1.0,2.0,0.0833333333333333,0.0821428571428571,0.81,1.0,37.96487,96.0,23.71852,60.0,3.0,0.2011904761904762,215.0,4.92,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,325.0
